VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,description
2,2020-12-01 00:04:31,2020-12-01 00:09:01,2,.77,1,N,166,166,2,5.5,0.5,0.5,0,0,0.3,6.8,0,random destip*#
2,2020-12-01 00:12:10,2020-12-01 00:13:47,2,.29,1,N,42,42,1,3.5,0.5,0.5,0.48,0,0.3,5.28,0,random destip*#
2,2020-12-01 00:26:29,2020-12-01 00:27:54,1,.57,1,N,164,100,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5,random destip*#
2,2020-12-01 00:05:21,2020-12-01 00:15:57,1,3.68,1,N,236,50,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5,random destip*#
2,2020-12-01 00:28:13,2020-12-01 00:31:10,1,1.00,1,N,229,140,2,5,0.5,0.5,0,0,0.3,8.8,2.5,random destip*#
2,2020-12-01 00:32:45,2020-12-01 00:32:53,1,.00,5,N,140,140,1,5,0,0.5,1.66,0,0.3,9.96,2.5,random destip*#
2,2020-12-01 00:39:23,2020-12-01 00:46:09,1,1.98,1,N,263,238,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,random destip*#
1,2020-12-01 00:04:50,2020-12-01 00:08:27,2,1.30,1,N,48,186,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,random destip*#
1,2020-12-01 00:11:53,2020-12-01 00:16:24,1,1.40,1,N,186,162,1,6.5,3,0.5,0,0,0.3,10.3,2.5,random destip*#
1,2020-12-01 00:41:46,2020-12-01 00:48:34,1,3.10,1,N,161,151,1,10.5,3,0.5,1.75,0,0.3,16.05,2.5,random destip*#
2,2020-12-01 00:47:32,2020-12-01 00:49:27,1,.52,1,N,79,4,1,3.5,0.5,0.5,4,0,0.3,11.3,2.5,random destip*#
1,2020-12-01 00:52:56,2020-12-01 00:59:01,2,2.20,1,N,246,239,2,8.5,3,0.5,0,0,0.3,12.3,2.5,random destip*#
1,2020-12-01 00:27:02,2020-12-01 00:32:24,1,1.20,1,N,233,164,1,6,3,0.5,1.95,0,0.3,11.75,2.5,random destip*#
